,d_2000,d_2010,d_2019,change,%_change,Total Officers,population,police_hthou,city,party
0,0.5273406343644161,1.4501867445021444,1.0546812687288323,0.5273406343644161,100.0,1055.0,758523.0,139.08609231361476,"Albuquerque, NM",blue
1,0.28369035764843387,0.28369035764843387,0.8510710729453016,0.5673807152968677,200.0,389.0,352497.0,110.35554912524078,"Anaheim, CA",blue
2,0.09562514941429595,0.09562514941429595,0.1912502988285919,0.09562514941429595,100.0,1612.0,5228750.0,30.829548171169016,"Atlanta, GA",blue
3,0.5455195118691408,,1.363798779672852,0.8182792678037111,149.99999999999997,644.0,366623.0,175.65728282186333,"Aurora, CO",blue
4,0.06102338660268161,0.24409354641072645,0.4881870928214529,0.4271637062187713,700.0000000000001,1605.0,1638716.0,97.94253549730398,"Austin, TX",blue
5,0.34821245138083645,0.6964249027616729,0.8705311284520912,0.5223186770712548,150.00000000000003,349.0,574362.0,60.76307276595596,"Bakersfield, CA",red
6,0.46072248657454673,0.27643349194472805,0.27643349194472805,-0.18428899462981868,-40.0,2960.0,2170504.0,136.37385602606582,"Baltimore, MD",blue
7,0.6853856922309818,,0.5140392691732364,-0.1713464230577454,-24.999999999999993,728.0,583613.0,124.74019598603869,"Baton Rouge, LA",blue
8,0.13437446670133527,0.5374978668053411,0.26874893340267053,0.13437446670133527,100.0,858.0,744189.0,115.29329242974566,"Birmingham, AL",blue
9,0.25959326926571447,,0.25959326926571447,0.0,0.0,296.0,385218.0,76.83960770265149,"Boise, ID",red
10,0.7890853711463043,,,,,320.0,253458.0,126.25365938340867,"Chandler, AZ",red
11,0.16136501896845798,0.27662574680307084,0.18441716453538054,0.02305214556692256,14.285714285714283,12515.0,8675982.0,144.24880088501797,"Chicago, IL",blue
12,0.1213405215458297,0.18201078231874457,0.06067026077291485,-0.06067026077291485,-50.0,1090.0,1648254.0,66.1305842424772,"Cincinnati, OH",blue
13,0.2889567102394122,0.17337402614364733,0.2889567102394122,0.0,0.0,1559.0,1730363.0,90.09670225264873,"Cleveland, OH",blue
14,0.4808108393995634,0.16027027979985448,1.4424325181986903,0.961621678799127,200.00000000000006,617.0,623946.0,98.88676263651021,"Colorado Springs, CO",red
15,0.29288151478319446,,0.8786445443495834,0.5857630295663889,200.0,445.0,341435.0,130.33227407852152,"Corpus Christi, TX",red
16,0.017442086603797247,0.2965154722645532,0.13953669283037798,0.12209460622658073,700.0,3666.0,5733259.0,63.94268948952071,"Dallas, TX",blue
17,0.10763235371148645,0.2152647074229729,0.39465196360878363,0.2870196098972972,266.66666666666663,1470.0,2787266.0,52.73985331862836,"Denver, CO",blue
18,0.28391297953612027,0.28391297953612027,0.17034778772167217,-0.1135651918144481,-40.0,2890.0,3522206.0,82.05085108593875,"Detroit, MI",blue
19,0.11824887604443318,0.23649775208886636,0.47299550417773273,0.35474662813329955,300.0,1078.0,845674.0,127.47228837589898,"El Paso, TX",blue
20,0.3079765937788728,0.3079765937788728,0.9239297813366184,0.6159531875577455,199.99999999999994,366.0,324700.0,112.71943332306743,"Fayetteville, NC",blue
21,0.7163108273246793,0.7163108273246793,0.7163108273246793,0.0,0.0,793.0,698021.0,113.60689721369415,"Fresno, CA",blue
22,1.2604936092974008,,1.2604936092974008,0.0,0.0,323.0,238002.0,135.71314526768683,"Garland, TX",blue
23,0.4126195565165007,,,,,214.0,242354.0,88.30058509453113,"Gilbert, AZ",red
24,0.2399027913889292,,0.8396597698612522,0.599756978472323,250.0,2066.0,833671.0,247.81958350476384,"Honolulu, HI",blue
25,0.12852365973691574,0.4773735933085441,0.4039315020303066,0.2754078422933909,214.28571428571428,5351.0,5446468.0,98.24715760746231,"Houston, TX",blue
26,0.19173016663268783,0.31955027772114636,0.6391005554422927,0.4473703888096049,233.33333333333331,1648.0,1564699.0,105.32377153688985,"Indianapolis, IN",blue
27,0.17296683966233414,0.6918673586493366,0.6918673586493366,0.5189005189870024,300.0,1751.0,1156291.0,151.43246812437354,"Jacksonville, FL",red
28,0.7386806425044229,0.36934032125221145,0.7386806425044229,0.0,0.0,831.0,270753.0,306.9218069605877,"Jersey City, NJ",blue
29,0.4332699315000238,0.309478522500017,0.1237914090000068,-0.309478522500017,-71.42857142857143,1404.0,1615621.0,86.90156911800477,"Kansas City, MO",red
30,0.8520609223559485,1.0650761529449357,0.6390456917669614,-0.2130152305889872,-25.000000000000007,889.0,469450.0,189.37053999360953,"Long Beach, CA",blue
31,0.12484905943790611,0.17947052294199003,0.15606132429738265,0.031212264859476535,25.000000000000007,9858.0,12815475.0,76.92262674617992,"Los Angeles, CA",blue
32,0.7618902497095293,0.38094512485476467,,,,382.0,262505.0,145.52103769452012,"Lubbock, TX",red
33,0.2806694527787679,0.2806694527787679,0.7484518740767144,0.4677824212979465,166.66666666666666,2335.0,1068873.0,218.45439074614103,"Memphis, TN",blue
34,0.20145003736898193,0.6043501121069459,0.6043501121069459,0.40290007473796396,200.00000000000006,776.0,496401.0,156.32522899832998,"Mesa, AZ",red
35,0.06267661093775805,0.10968406914107658,0.07834576367219757,0.01566915273443953,25.00000000000003,1098.0,6381966.0,17.204729702414586,"Miami, FL",blue
36,0.14515810620928316,0.508053371732491,0.6532114779417741,0.508053371732491,349.99999999999994,1936.0,1377808.0,140.51304681058608,"Milwaukee, WI",blue
37,0.20500506191665382,0.13667004127776922,0.10250253095832691,-0.10250253095832691,-50.0,880.0,2926757.0,30.06740908110923,"Minneapolis, MN",blue
38,0.5572867565446363,0.3715245043630909,0.18576225218154546,-0.37152450436309087,-66.66666666666666,1289.0,1076645.0,119.72377153100604,"Nashville, TN",blue
39,0.19434022949637703,0.2915103442445655,0.583020688489131,0.388680458992754,199.99999999999997,1452.0,1029123.0,141.09100661436972,"New Orleans, LA",blue
40,1.225975979043984,1.225975979043984,0.408658659681328,-0.817317319362656,-66.66666666666666,759.0,244703.0,310.17192269812796,"Norfolk, VA",blue
41,0.8231299516411154,,0.4115649758205577,-0.4115649758205577,-50.0,308.0,242975.0,126.76201255273176,"North Las Vegas, NV",blue
42,0.9407448347228919,1.8814896694457839,0.23518620868072299,-0.7055586260421689,-74.99999999999999,674.0,425195.0,158.5155046508073,"Oakland, CA",blue
43,0.8368218343553019,1.4644382101217785,1.1506300222385402,0.3138081878832383,37.50000000000001,1015.0,955998.0,106.17177023382894,"Oklahoma City, OK",red
44,0.4832166767739488,1.2080416919348722,0.4832166767739488,0.0,0.0,789.0,827786.0,95.3144894936614,"Omaha, NE",blue
45,0.16883896758348102,0.506516902750443,0.22511862344464134,0.05627965586116032,33.33333333333332,719.0,1776841.0,40.465072564174285,"Orlando, FL",blue
46,0.19510866133464258,0.2483201144259087,0.08868575515211026,-0.10642290618253232,-54.545454545454554,6734.0,5637884.0,119.4419750388621,"Philadelphia, PA",blue
47,0.12249350723164919,0.29398441735595804,0.31848311880228786,0.19598961157063866,159.99999999999997,3146.0,4081849.0,77.07291475015367,"Phoenix, AZ",red
48,0.1165978836318142,0.5246904763431639,0.1748968254477213,0.05829894181590711,50.000000000000014,887.0,1715297.0,51.7111613907096,"Pittsburgh, PA",blue
49,0.19485618639163366,0.2922842795874505,0.2922842795874505,0.09742809319581686,50.000000000000014,957.0,2052796.0,46.61934259419835,"Portland, OR",blue
50,0.2308024308112013,0.4616048616224026,0.2308024308112013,0.0,0.0,323.0,433271.0,74.54918515201803,"Reno, NV",blue
51,0.04796740518882609,0.04796740518882609,0.14390221556647828,0.0959348103776522,200.00000000000006,361.0,2084749.0,17.31623327316622,"Riverside, CA",blue
52,0.2695856683945311,0.16175140103671864,,,,696.0,1854698.0,37.52632504051873,"Sacramento, CA",blue
53,0.0998736598203273,0.5992419589219637,0.9987365982032729,0.8988629383829456,900.0,2303.0,2002530.0,115.00451928310687,"San Antonio, TX",blue
54,0.3426456103670856,0.18689760565477395,0.2491968075396986,-0.09344880282738696,-27.27272727272727,1863.0,3210314.0,58.03170655580731,"San Diego, CA",blue
55,0.0832463640069361,0.0832463640069361,0.055497576004624065,-0.02774878800231203,-33.33333333333333,2250.0,3603761.0,62.43477300520206,"San Francisco, CA",blue
56,0.27443892334317105,0.32932670801180525,0.32932670801180525,0.0548877846686342,19.999999999999996,1259.0,1821899.0,69.10372089781048,"San Jose, CA",blue
57,0.29927933536045204,1.1971173414418081,,,,353.0,334136.0,105.64560538223957,"Santa Ana, CA",blue
58,0.1097765635270112,0.1097765635270112,0.16466484529051684,0.05488828176350563,50.00000000000002,1344.0,3643765.0,36.884925345075764,"Seattle, WA",blue
59,0.32613552235495935,0.6522710447099187,0.32613552235495935,0.0,0.0,592.0,306621.0,193.07222923413596,"St. Paul, MN",blue
60,0.7597196634441892,0.3798598317220946,0.7597196634441892,0.0,0.0,538.0,263255.0,204.36458946648688,"St. Petersburg, FL",red
61,1.0140265218636795,0.25350663046591987,1.0140265218636795,0.0,0.0,342.0,394467.0,86.69926761934458,"Stockton, CA",blue
62,0.2852822868228112,0.0356602858528514,0.21396171511710835,-0.07132057170570286,-25.00000000000002,952.0,2804240.0,33.94859213191453,"Tampa, FL",blue
63,0.20463623862222513,0.20463623862222513,0.20463623862222513,0.0,0.0,566.0,488672.0,115.82411106017942,"Toledo, OH",blue
64,0.34546650068920565,0.46062200091894084,0.46062200091894084,0.1151555002297352,33.33333333333333,974.0,868391.0,112.16145722376211,"Tucson, AZ",blue
65,0.5951902674487467,0.5951902674487467,1.0415829680353068,0.4463927005865601,75.00000000000001,736.0,672054.0,109.5150092105694,"Tulsa, OK",red
66,0.06755008670053628,,0.13510017340107255,0.06755008670053628,100.0,775.0,1480383.0,52.35131719291562,"Virginia Beach, VA",red
