,Police Department,Officers per 10K Population,Officers,Total Employees per 10K Population,Total Employees
998,"Brighton Town, New York",10.3,38,11.9,44
999,"Beloit, Wisconsin",17.6,65,20.9,77
1000,"Shrewsbury, Massachusetts",12.2,45,15.5,57
1001,"Longview, Washington",15.7,58,18.7,69
1002,"Lincoln Park, Michigan",10.9,40,12.5,46
1003,"Monroe Township, Gloucester County, New Jersey",18.2,67,19.8,73
1004,"Natick, Massachusetts",15.2,56,18.8,69
1005,"Bartlesville, Oklahoma",16.6,61,22.6,83
1006,"Trumbull, Connecticut",20.4,75,23.4,86
1007,"Fort Lee, New Jersey",24.5,90,29.9,110
1008,"Portage, Indiana",18.2,67,20.2,74
1009,"Grand Blanc Township, Michigan",10.7,39,12.6,46
1010,"Lufkin, Texas",20.5,75,27.1,99
1011,"Claremont, California",10.1,37,16.7,61
1012,"Springfield Township, Hamilton County, Ohio",12.9,47,14.8,54
1013,"Oregon City, Oregon",12.3,45,14.3,52
1014,"Mooresville, North Carolina",21.7,79,26.9,98
1015,"Ewing Township, New Jersey",20.6,75,25.8,94
1016,"Richfield, Minnesota",11.5,42,13.7,50
1017,"Rosenberg, Texas",19.3,70,25.3,92
1018,"Bell, California",9.1,33,12.4,45
1019,"Franklin, Wisconsin",16.2,59,20.7,75
1020,"Rome, Georgia",24.5,89,26.7,97
1021,"Belleville, New Jersey",30.6,111,33.1,120
1022,"Menomonee Falls, Wisconsin",15.7,57,20.2,73
1023,"Del Rio, Texas",16.6,60,21.0,76
1024,"Cottage Grove, Minnesota",11.3,41,13.3,48
1025,"Lewiston, Maine",22.1,80,25.2,91
1026,"Leavenworth, Kansas",14.4,52,20.8,75
1027,"Manhattan Beach, California",18.4,66,29.2,105
1028,"Roseville, Minnesota",13.4,48,15.6,56
1029,"Bettendorf, Iowa",12.5,45,14.5,52
1030,"Goldsboro, North Carolina",24.8,89,28.2,101
1031,"Freehold Township, New Jersey",18.2,65,19.3,69
1032,"Hot Springs, Arkansas",28.6,102,36.4,130
1033,"Prattville, Alabama",23.3,83,25.8,92
1034,"Andover, Massachusetts",14.3,51,20.0,71
1035,"Owasso, Oklahoma",15.5,55,20.5,73
1036,"La Porte, Texas",21.2,75,29.9,106
1037,"Pennsauken Township, New Jersey",20.6,73,22.9,81
1038,"West Fargo, North Dakota",14.4,51,17.2,61
1039,"Peachtree City, Georgia",17.8,63,19.2,68
1040,"Oak Creek, Wisconsin",15.8,56,22.1,78
1041,"Central Marin, California",11.6,41,13.0,46
1042,"Chelmsford, Massachusetts",14.8,52,18.2,64
1043,"La Vergne, Tennessee",15.0,53,18.7,66
1044,"Lauderdale Lakes, Florida",11.1,39,11.6,41
1045,"Gallatin, Tennessee",20.2,71,26.2,92
1046,"Pleasant Hill, California",11.7,41,16.2,57
1047,"Leawood, Kansas",15.9,56,21.9,77
1048,"Winter Springs, Florida",14.5,51,18.5,65
1049,"Inver Grove Heights, Minnesota",11.1,39,12.6,44
1050,"Beverly Hills, California",33.4,117,52.5,184
1051,"University City, Missouri",19.4,68,27.4,96
1052,"Monroe, North Carolina",23.4,82,27.2,95
1053,"Coventry, Rhode Island",15.7,55,19.7,69
1054,"Benton, Arkansas",18.3,64,25.8,90
1055,"Gahanna, Ohio",15.2,53,19.5,68
1056,"Seaside, California",10.6,37,13.2,46
1057,"Stow, Ohio",11.2,39,13.5,47
1058,"Northern Regional, Pennsylvania",8.3,29,8.9,31
1059,"Brunswick, Ohio",11.5,40,15.2,53
1060,"Northern Lancaster County Regional, Pennsylvania",6.9,24,7.5,26
1061,"Glastonbury, Connecticut",16.4,57,21.6,75
1062,"Cumberland, Rhode Island",12.4,43,15.6,54
1063,"Watertown, Massachusetts",19.3,67,20.5,71
1064,"Dartmouth, Massachusetts",20.2,70,25.4,88
1065,"Torrington, Connecticut",21.9,76,25.1,87
1066,"Mount Vernon, Washington",12.2,42,15.6,54
1067,"Cottonwood Heights, Utah",12.2,42,15.1,52
1068,"Norristown, Pennsylvania",19.5,67,23.8,82
1069,"Houma, Louisiana",23.5,81,28.5,98
1070,"Guilderland Town, New York",10.2,35,14.0,48
1071,"El Mirage, Arizona",11.6,40,15.7,54
1072,"Carmel Town, New York",9.0,31,11.1,38
1073,"Riviera Beach, Florida",31.2,107,43.7,150
1074,"Newark, Delaware",20.7,71,25.7,88
1075,"McMinnville, Oregon",10.8,37,12.6,43
1076,"Stroud Area Regional, Pennsylvania",15.2,52,17.2,59
1077,"Kennesaw, Georgia",17.0,58,21.9,75
1078,"Deer Park, Texas",16.4,56,24.3,83
1079,"Waxahachie, Texas",17.3,59,22.3,76
1080,"Salisbury, North Carolina",20.2,69,22.3,76
1081,"Chester, Pennsylvania",27.3,93,30.2,103
1082,"Foster City, California",10.6,36,14.7,50
1083,"Nacogdoches, Texas",18.5,63,25.5,87
1084,"Dalton, Georgia",24.4,83,28.2,96
1085,"Richmond, Kentucky",13.8,47,18.0,61
1086,"Wenatchee, Washington",11.2,38,13.9,47
1087,"Holland, Michigan",16.8,57,19.2,65
1088,"Falls Township, Bucks County, Pennsylvania",15.4,52,17.7,60
1089,"Riverhead Town, New York",25.1,85,30.5,103
1090,"Randolph, Massachusetts",17.5,59,18.0,61
1091,"Menlo Park, California",13.9,47,19.9,67
1092,"Bay City, Michigan",14.5,49,15.7,53
1093,"Englewood, Colorado",21.1,71,29.7,100
1094,"Fair Lawn, New Jersey",17.5,59,21.4,72
1095,"Lexington, Massachusetts",14.0,47,18.1,61
1096,"Long Beach, New York",20.2,68,25.3,85
1097,"Fairborn, Ohio",13.4,45,17.6,59
1098,"Farmers Branch, Texas",20.3,68,29.8,100
1099,"St. Charles, Illinois",15.5,52,18.8,63
1100,"Kearney, Nebraska",16.7,56,20.6,69
1101,"Pullman, Washington",8.7,29,12.0,40
1102,"Tooele, Utah",11.4,38,14.6,49
1103,"Socorro, Texas",8.7,29,12.3,41
1104,"Salisbury, Maryland",26.9,90,34.1,114
1105,"Douglasville, Georgia",29.1,97,36.7,122
1106,"Franklin, Massachusetts",13.8,46,16.2,54
1107,"Elk Grove Village, Illinois",26.8,89,31.6,105
1108,"Derry, New Hampshire",15.3,51,19.2,64
1109,"Copperas Cove, Texas",13.5,45,20.2,67
1110,"Gillette, Wyoming",15.4,51,23.5,78
1111,"University Place, Washington",4.5,15,4.8,16
1112,"Clermont, Florida",19.6,65,21.4,71
1113,"North Ridgeville, Ohio",11.5,38,14.2,47
1114,"Jackson, Michigan",13.9,46,17.5,58
1115,"Pekin, Illinois",16.3,54,19.4,64
1116,"Mount Juliet, Tennessee",16.6,55,21.2,70
1117,"Alabaster, Alabama",18.5,61,24.2,80
1118,"Mason, Ohio",13.9,46,15.4,51
1119,"Lawrence Township, New Jersey",17.6,58,18.8,62
1120,"La Verne, California",12.1,40,18.2,60
1121,"Juneau, Alaska",15.2,50,24.9,82
1122,"Sun Prairie, Wisconsin",15.8,52,20.9,69
1123,"Manitowoc, Wisconsin",19.2,63,22.2,73
1124,"Holly Springs, North Carolina",14.9,49,18.3,60
1125,"Spring Valley Village, New York",15.5,51,17.7,58
1126,"Springville, Utah",7.6,25,10.7,35
1127,"Valparaiso, Indiana",15.2,50,16.8,55
1128,"Lower Makefield Township, Pennsylvania",11.6,38,12.8,42
1129,"Eastpointe, Michigan",11.3,37,12.5,41
1130,"Mount Lebanon, Pennsylvania",13.8,45,16.5,54
1131,"Westtown-East Goshen Regional, Pennsylvania",9.2,30,10.1,33
1132,"Lewiston, Idaho",12.6,41,19.3,63
1133,"Warminster Township, Pennsylvania",13.2,43,14.7,48
1134,"North Providence, Rhode Island",18.7,61,24.0,78
1135,"Fairbanks, Alaska",11.4,37,13.2,43
1136,"Laramie, Wyoming",14.2,46,21.9,71
1137,"Rome, New York",22.9,74,23.5,76
1138,"Walla Walla, Washington",14.2,46,22.0,71
1139,"Petersburg, Virginia",28.8,93,37.2,120
1140,"Cookeville, Tennessee",21.7,70,27.9,90
1141,"Bangor, Maine",23.6,76,28.5,92
1142,"San Luis, Arizona",10.9,35,16.8,54
1143,"Bethel Park, Pennsylvania",11.8,38,13.7,44
1144,"Paso Robles, California",9.7,31,13.8,44
1145,"Garfield, New Jersey",20.7,66,23.8,76
1146,"Myrtle Beach, South Carolina",68.7,219,94.2,300
1147,"Dania, Florida",21.4,68,23.6,75
1148,"West Bend, Wisconsin",16.7,53,22.0,70
1149,"Mundelein, Illinois",16.1,51,22.1,70
1150,"Radnor Township, Pennsylvania",13.3,42,14.5,46
1151,"Dracut, Massachusetts",12.3,39,14.2,45
1152,"Parkland, Florida",12.7,40,14.3,45
1153,"Shawnee, Oklahoma",16.5,52,23.8,75
1154,"Des Moines, Washington",10.2,32,13.6,43
1155,"Naugatuck, Connecticut",18.1,57,21.6,68
1156,"Lake Stevens, Washington",8.6,27,10.5,33
1157,"Bowling Green, Ohio",11.8,37,16.6,52
1158,"Matthews, North Carolina",17.5,55,21.7,68
1159,"Wheat Ridge, Colorado",23.9,75,32.5,102
1160,"Falmouth, Massachusetts",17.5,55,18.8,59
1161,"Woodstock, Georgia",16.0,50,17.6,55
1162,"Willingboro Township, New Jersey",20.8,65,24.0,75
1163,"Banning, California",8.7,27,13.8,43
1164,"Statesboro, Georgia",19.6,61,25.7,80
1165,"Tewksbury, Massachusetts",18.9,59,23.7,74
1166,"White Lake Township, Michigan",8.4,26,11.6,36
1167,"Florence, Arizona",9.3,29,11.9,37
1168,"Lebanon, Tennessee",23.8,74,29.9,93
1169,"Savage, Minnesota",10.3,32,12.9,40
1170,"Ridley Township, Pennsylvania",10.3,32,11.9,37
1171,"Morgantown, West Virginia",20.9,65,24.4,76
1172,"Kaysville, Utah",8.4,26,9.3,29
1173,"Dover, New Hampshire",16.1,50,23.5,73
1174,"Helena, Montana",15.5,48,22.5,70
1175,"Post Falls, Idaho",13.9,43,22.6,70
1176,"Gurnee, Illinois",19.3,60,29.0,90
1177,"Los Altos, California",8.7,27,13.5,42
1178,"Long Branch, New Jersey",26.5,82,33.3,103
1179,"Los Gatos, California",12.0,37,17.4,54
1180,"Cranberry Township, Pennsylvania",8.7,27,10.0,31
1181,"Ithaca, New York",21.3,66,23.9,74
1182,"Newburgh Town, New York",14.9,46,18.1,56
1183,"LaGrange, Georgia",27.2,84,32.3,100
1184,"Lawrenceville, Georgia",22.6,70,30.4,94
1185,"Parkersburg, West Virginia",22.0,68,24.6,76
1186,"Brooklyn Center, Minnesota",15.5,48,19.4,60
1187,"DeLand, Florida",18.1,56,24.0,74
1188,"South Kingstown, Rhode Island",16.8,52,22.7,70
1189,"Brownstown Township, Michigan",10.4,32,12.6,39
1190,"Ross Township, Pennsylvania",13.9,43,14.6,45
1191,"Aiken, South Carolina",27.9,86,37.0,114
1192,"Burlingame, California",11.7,36,18.2,56
1193,"North Huntingdon Township, Pennsylvania",9.1,28,11.0,34
1194,"Santa Paula, California",9.7,30,12.3,38
1195,"Clearfield, Utah",10.1,31,13.6,42
1196,"Alamogordo, New Mexico",18.2,56,24.7,76
1197,"Needham, Massachusetts",15.0,46,17.9,55
1198,"Liberty, Missouri",13.0,40,17.6,54
1199,"Sherwood, Arkansas",21.8,67,31.0,95
1200,"San Pablo, California",15.0,46,21.8,67
1201,"Southlake, Texas",20.2,62,22.5,69
1202,"North Tonawanda, New York",15.3,47,16.6,51
1203,"Newington, Connecticut",16.7,51,20.9,64
1204,"Ballwin, Missouri",15.7,48,19.3,59
1205,"Orange, New Jersey",31.8,97,38.7,118
1206,"Flint Township, Michigan",12.5,38,14.1,43
1207,"Cedar City, Utah",11.8,36,13.1,40
1208,"Texarkana, Arkansas",26.3,80,34.2,104
1209,"Westfield, New Jersey",19.1,58,23.3,71
1210,"Deptford Township, New Jersey",21.1,64,22.7,69
1211,"Winter Park, Florida",26.4,80,36.2,110
1212,"Madison Heights, Michigan",15.2,46,19.1,58
1213,"Poughkeepsie, New York",30.1,91,41.3,125
1214,"Opelika, Alabama",27.8,84,34.5,104
1215,"New Bern, North Carolina",26.9,81,34.2,103
1216,"Atascadero, California",9.3,28,12.6,38
1217,"Rochester, New Hampshire",18.3,55,22.6,68
1218,"Cleburne, Texas",17.3,52,23.3,70
1219,"Kent, Ohio",14.0,42,18.7,56
1220,"East Palo Alto, California",11.0,33,13.4,40
1221,"Williston, North Dakota",16.7,50,23.1,69
1222,"Groton Town, Connecticut",19.7,59,21.4,64
1223,"Niles, Illinois",18.4,55,22.8,68
1224,"Jamestown, New York",19.7,59,22.8,68
1225,"North Andover, Massachusetts",13.4,40,17.1,51
1226,"Oak Park, Michigan",16.4,49,20.4,61
1227,"Gloucester, Massachusetts",15.8,47,17.4,52
1228,"Rahway, New Jersey",24.5,73,27.5,82
1229,"Livingston Township, New Jersey",22.8,68,26.5,79
1230,"Suisun City, California",7.1,21,11.1,33
1231,"Port Chester Village, New York",20.5,61,21.2,63
1232,"Orchard Park Town, New York",10.4,31,13.1,39
1233,"Duluth, Georgia",26.2,78,31.3,93
1234,"Hampden Township, Pennsylvania",8.4,25,8.8,26
1235,"Princeton, New Jersey",17.5,52,23.6,70
1236,"Tredyffrin Township, Pennsylvania",14.2,42,15.9,47
1237,"Morristown, Tennessee",28.7,85,31.1,92
1238,"Delhi Township, Ohio",10.1,30,10.8,32
1239,"Carlsbad, New Mexico",21.0,62,30.1,89
1240,"Atwater, California",9.2,27,11.6,34
1241,"Raytown, Missouri",18.0,53,24.5,72
1242,"Russellville, Arkansas",17.4,51,19.4,57
1243,"Rotterdam Town, New York",13.6,40,14.6,43
1244,"Sanford, North Carolina",27.9,82,35.8,105
1245,"Johnston, Rhode Island",22.8,67,27.3,80
1246,"East Fishkill Town, New York",9.9,29,13.0,38
1247,"Oak Ridge, Tennessee",18.8,55,24.2,71
1248,"Cheshire, Connecticut",16.1,47,20.2,59
1249,"Eagle Pass, Texas",21.5,63,26.7,78
1250,"Voorhees Township, New Jersey",16.8,49,19.8,58
1251,"Big Spring, Texas",11.6,34,17.5,51
1252,"Port Huron, Michigan",18.5,54,23.6,69
1253,"Redmond, Oregon",12.3,36,15.4,45
1254,"Williamsport, Pennsylvania",17.5,51,18.9,55
1255,"Southgate, Michigan",12.3,36,13.7,40
1256,"Miami Township, Montgomery County, Ohio",13.0,38,15.4,45
1257,"Mount Olive Township, New Jersey",16.2,47,19.2,56
1258,"Kingman, Arizona",18.6,54,24.4,71
1259,"Norwood, Massachusetts",19.6,57,23.4,68
1260,"Wellesley, Massachusetts",13.4,39,15.5,45
1261,"North Attleboro, Massachusetts",15.2,44,20.0,58
1262,"Ridgecrest, California",11.0,32,17.2,50
1263,"Windsor, Connecticut",18.6,54,23.1,67
1264,"Salem, New Hampshire",21.8,63,26.6,77
1265,"Greer, South Carolina",18.7,54,24.9,72
1266,"Vernon, Connecticut",16.9,49,22.1,64
1267,"Henderson, Kentucky",20.8,60,28.0,81
1268,"McCandless, Pennsylvania",9.7,28,10.4,30
1269,"Granite City, Illinois",19.4,56,23.9,69
1270,"Northville Township, Michigan",9.3,27,13.2,38
1271,"East Haven, Connecticut",18.0,52,19.4,56
1272,"Lone Peak, Utah",7.3,21,8.3,24
1273,"Agawam, Massachusetts",16.3,47,19.8,57
1274,"Fredericksburg, Virginia",22.9,66,31.6,91
1275,"West Warwick, Rhode Island",18.1,52,21.9,63
1276,"Cornelius, North Carolina",21.6,62,26.8,77
1277,"West Springfield, Massachusetts",29.3,84,32.4,93
1278,"Jacksonville, Arkansas",25.1,72,30.0,86
1279,"Englewood, New Jersey",29.3,84,38.4,110
1280,"Nutley Township, New Jersey",25.8,74,30.0,86
1281,"Gates Town, New York",10.5,30,12.2,35
1282,"Maryville, Tennessee",17.4,50,19.5,56
1283,"Upper Merion Township, Pennsylvania",22.3,64,27.9,80
1284,"Milford, Massachusetts",15.7,45,18.9,54
1285,"Fitchburg, Wisconsin",17.1,49,21.3,61
1286,"Stoughton, Massachusetts",18.2,52,20.6,59
1287,"Desert Hot Springs, California",8.4,24,10.5,30
1288,"Burton, Michigan",14.0,40,15.1,43
1289,"Lacey Township, New Jersey",15.1,43,20.0,57
1290,"Wallkill Town, New York",13.7,39,14.0,40
1291,"Northampton, Massachusetts",22.1,63,24.2,69
1292,"Harrison Town, New York",22.1,63,25.9,74
1293,"Garner, North Carolina",21.7,62,24.6,70
1294,"Monterey, California",15.1,43,21.4,61
1295,"East Chicago, Indiana",33.0,94,35.4,101
1296,"Aberdeen, South Dakota",15.8,45,18.9,54
1297,"West Windsor Township, New Jersey",16.5,47,20.7,59
1298,"Shaler Township, Pennsylvania",9.1,26,9.8,28
1299,"SeaTac, Washington",15.1,43,21.1,60
1300,"Lafayette, Colorado",13.4,38,16.9,48
1301,"Benicia, California",11.6,33,17.3,49
1302,"Seguin, Texas",19.8,56,27.5,78
1303,"Bella Vista, Arkansas",9.5,27,14.1,40
1304,"Paragould, Arkansas",17.0,48,20.9,59
1305,"Vestal Town, New York",12.0,34,13.1,37
1306,"Enterprise, Alabama",18.4,52,24.8,70
1307,"Hobart, Indiana",22.0,62,25.2,71
1308,"Oakdale, Minnesota",11.3,32,13.5,38
1309,"Westport, Connecticut",22.0,62,26.6,75
1310,"Millville, New Jersey",26.3,74,30.2,85
1311,"Newburgh, New York",30.5,86,35.1,99
1312,"Branford, Connecticut",17.4,49,22.0,62
1313,"Monroeville, Pennsylvania",15.6,44,18.8,53
1314,"Saugus, Massachusetts",20.6,58,25.6,72
1315,"Fountain, Colorado",18.1,51,22.1,62
1316,"Rexburg, Idaho",11.4,32,14.2,40
1317,"Slidell, Louisiana",23.8,67,35.2,99
1318,"Newtown, Connecticut",15.7,44,17.1,48
1319,"Van Buren Township, Michigan",14.2,40,19.6,55
1320,"Oak Forest, Illinois",14.6,41,18.5,52
1321,"Cibolo, Texas",11.4,32,13.2,37
1322,"Melrose, Massachusetts",16.7,47,16.7,47
1323,"Syracuse, Utah",7.5,21,8.2,23
1324,"Saratoga Springs, New York",26.1,73,30.7,86
1325,"Danvers, Massachusetts",16.4,46,20.7,58
1326,"Dodge City, Kansas",15.4,43,22.5,63
1327,"Frankfort, Kentucky",20.1,56,21.1,59
1328,"Fridley, Minnesota",14.7,41,16.2,45
1329,"Round Lake Beach, Illinois",13.3,37,13.7,38
1330,"Kirkwood, Missouri",21.9,61,27.0,75
1331,"Middletown, New York",23.1,64,27.0,75
1332,"Pemberton Township, New Jersey",13.7,38,15.5,43
1333,"Lake Jackson, Texas",15.9,44,21.3,59
1334,"Bergenfield, New Jersey",17.7,49,18.8,52
1335,"Marshalltown, Iowa",14.8,41,21.0,58
1336,"Plum, Pennsylvania",8.7,24,10.9,30
1337,"East Windsor Township, New Jersey",15.6,43,17.8,49
1338,"Anderson, South Carolina",33.1,91,46.5,128
1339,"Spring Township, Berks County, Pennsylvania",10.5,29,10.9,30
1340,"Neptune Township, New Jersey",26.5,73,30.2,83
1341,"Belmont, California",10.9,30,16.0,44
1342,"West Chicago, Illinois",16.7,46,18.6,51
1343,"Wheeling, West Virginia",24.7,68,28.0,77
1344,"Glen Cove, New York",18.2,50,19.7,54
1345,"Shaker Heights, Ohio",21.8,60,29.8,82
1346,"Whitehall Township, Pennsylvania",16.4,45,18.2,50
1347,"Maryland Heights, Missouri",28.5,78,34.7,95
1348,"Tualatin, Oregon",13.5,37,16.4,45
1349,"Winchester, Virginia",26.3,72,35.1,96
1350,"Allen Park, Michigan",14.7,40,15.8,43
1351,"Mason City, Iowa",16.9,46,18.7,51
1352,"Casselberry, Florida",17.6,48,20.9,57
1353,"Saratoga Springs, Utah",11.4,31,15.1,41
1354,"Gladstone, Missouri",15.8,43,21.4,58
1355,"Thomasville, North Carolina",24.3,66,26.6,72
1356,"New Milford, Connecticut",18.4,50,22.9,62
1357,"New London, Connecticut",28.4,77,34.0,92
1358,"Wakefield, Massachusetts",16.6,45,17.0,46
1359,"Horn Lake, Mississippi",18.5,50,24.7,67
1360,"Ocean Township, Monmouth County, New Jersey",22.5,61,27.3,74
1361,"Garden City, Kansas",22.9,62,33.7,91
1362,"Bernards Township, New Jersey",14.1,38,15.9,43
1363,"Jeffersontown, Kentucky",18.1,49,21.8,59
1364,"Winona, Minnesota",14.1,38,15.6,42
1365,"Eureka, California",17.4,47,26.3,71
1366,"Stafford Township, New Jersey",18.9,51,26.3,71
1367,"Rockledge, Florida",18.5,50,26.3,71
1368,"Paramus, New Jersey",32.3,87,40.1,108
1369,"Easton, Pennsylvania",23.0,62,24.5,66
1370,"Springettsbury Township, Pennsylvania",11.9,32,13.0,35
1371,"Mount Pleasant Town, New York",15.2,41,17.5,47
1372,"West Linn, Oregon",10.8,29,12.3,33
1373,"Wooster, Ohio",14.9,40,16.0,43
1374,"Zionsville, Indiana",10.8,29,11.2,30
1375,"Plymouth Township, Michigan",11.2,30,17.9,48
1376,"Auburn, New York",24.6,66,26.4,71
1377,"New Windsor Town, New York",14.2,38,17.9,48
1378,"Alton, Illinois",21.6,58,28.0,75
1379,"Hamilton Township, Atlantic County, New Jersey",18.6,50,27.2,73
1380,"Garden City, Michigan",10.5,28,11.2,30
1381,"Watertown, New York",24.3,65,25.4,68
1382,"West Milford Township, New Jersey",16.5,44,19.1,51
1383,"Greenville, Texas",20.2,54,27.4,73
1384,"Horsham Township, Pennsylvania",15.0,40,17.6,47
1385,"Bristol, Tennessee",25.9,69,33.0,88
1386,"Carrollton, Georgia",23.7,63,28.6,76
1387,"Mahwah Township, New Jersey",19.6,52,22.6,60
1388,"Stevens Point, Wisconsin",16.5,44,18.1,48
1389,"McHenry, Illinois",17.3,46,21.4,57
1390,"Vernon Hills, Illinois",15.8,42,26.7,71
1391,"Batavia, Illinois",15.1,40,17.3,46
1392,"Statesville, North Carolina",27.1,72,34.6,92
1393,"Yukon, Oklahoma",16.2,43,23.0,61
1394,"Paradise, California",7.2,19,12.4,33
1395,"Kankakee, Illinois",25.7,68,27.2,72
1396,"Fremont, Nebraska",14.0,37,15.9,42
1397,"Superior, Wisconsin",21.2,56,23.1,61
1398,"Laurel, Maryland",24.2,64,32.2,85
1399,"Genoa Township, Ohio",9.1,24,9.8,26
1400,"Carbondale, Illinois",25.4,67,31.5,83
1401,"Lower Providence Township, Pennsylvania",11.8,31,12.5,33
1402,"Upper Dublin Township, Pennsylvania",15.2,40,17.5,46
1403,"Wethersfield, Connecticut",18.2,48,23.2,61
1404,"Maple Valley, Washington",7.2,19,9.1,24
1405,"Mount Pleasant, Wisconsin",18.3,48,20.2,53
1406,"Medina, Ohio",13.7,36,17.5,46
1407,"Ramsey, Minnesota",9.1,24,10.3,27
1408,"Montgomery Township, Pennsylvania",13.7,36,17.1,45
1409,"South Pasadena, California",13.3,35,18.7,49
1410,"Asheboro, North Carolina",27.1,71,30.1,79
1411,"Kingsville, Texas",17.9,47,25.5,67
1412,"Mint Hill, North Carolina",11.8,31,13.0,34
1413,"Barberton, Ohio",16.0,42,16.8,44
1414,"North Kingstown, Rhode Island",16.8,44,20.3,53
1415,"Madison, Mississippi",25.7,67,32.9,86
1416,"Newberg-Dundee, Oregon",13.4,35,18.8,49
1417,"Alvin, Texas",18.0,47,29.1,76
1418,"New Lenox, Illinois",14.2,37,15.7,41
1419,"Burlington, Massachusetts",24.9,65,28.0,73
1420,"Brawley, California",13.8,36,19.2,50
1421,"Mount Pleasant, Michigan",11.1,29,13.4,35
1422,"Colleyville, Texas",16.5,43,18.8,49
1423,"Xenia, Ohio",15.7,41,25.7,67
1424,"Wall Township, New Jersey",25.4,66,35.0,91
1425,"Canton, Georgia",17.3,45,19.2,50
1426,"Key West, Florida",35.4,92,45.4,118
1427,"Temple Terrace, Florida",19.3,50,25.4,66
1428,"Exeter Township, Berks County, Pennsylvania",11.2,29,12.0,31
1429,"Cabot, Arkansas",16.2,42,20.4,53
1430,"Clinton, Iowa",15.4,40,17.8,46
1431,"Randolph Township, New Jersey",13.9,36,15.8,41
1432,"Lemoore, California",12.0,31,14.7,38
1433,"Neenah, Wisconsin",15.9,41,19.7,51
1434,"Moon Township, Pennsylvania",10.8,28,13.2,34
1435,"Reedley, California",10.5,27,15.5,40
1436,"South Windsor, Connecticut",14.7,38,20.2,52
1437,"Sahuarita, Arizona",16.7,43,19.4,50
1438,"Reading, Massachusetts",16.3,42,21.3,55
1439,"Prior Lake, Minnesota",9.7,25,10.9,28
1440,"Owatonna, Minnesota",14.0,36,15.1,39
1441,"Troy, Ohio",16.3,42,17.1,44
1442,"Marshfield, Massachusetts",17.9,46,19.1,49
1443,"Farmington, Connecticut",17.5,45,23.8,61
1444,"Merrimack, New Hampshire",15.6,40,20.3,52
1445,"South Portland, Maine",20.6,53,23.0,59
1446,"Hazelwood, Missouri",26.1,67,30.4,78
1447,"Galt, California",12.9,33,19.1,49
1448,"Belmont, Massachusetts",17.9,46,23.4,60
1449,"Ridgewood, New Jersey",16.8,43,18.0,46
1450,"DeWitt Town, New York",17.2,44,18.7,48
1451,"Athens, Alabama",18.7,48,23.0,59
1452,"Daphne, Alabama",19.6,50,28.9,74
1453,"Washington, Utah",9.4,24,10.2,26
1454,"Hercules, California",7.8,20,8.6,22
1455,"Lebanon, Pennsylvania",16.0,41,17.2,44
1456,"Mauldin, South Carolina",19.2,49,23.5,60
1457,"Mercer Island, Washington",12.1,31,13.7,35
1458,"White Bear Lake, Minnesota",11.0,28,14.5,37
1459,"Chaska, Minnesota",9.8,25,11.0,28
1460,"Balch Springs, Texas",14.1,36,20.8,53
1461,"Sachse, Texas",11.0,28,16.5,42
1462,"Bixby, Oklahoma",10.6,27,14.1,36
1463,"Londonderry, New Hampshire",22.0,56,27.5,70
1464,"Grandview, Missouri",20.1,51,23.6,60
1465,"Dedham, Massachusetts",22.4,57,23.2,59
1466,"Salem, Virginia",24.4,62,33.5,85
1467,"Woodburn, Oregon",13.4,34,16.5,42
1468,"Burlington, Iowa",16.9,43,18.5,47
1469,"Ridgefield, Connecticut",16.6,42,18.9,48
1470,"Ardmore, Oklahoma",20.1,51,27.7,70
1471,"Moscow, Idaho",13.8,35,17.0,43
1472,"Fuquay-Varina, North Carolina",15.1,38,17.4,44
1473,"El Cerrito, California",15.9,40,18.6,47
1474,"San Fernando, California",10.7,27,16.3,41
1475,"Walpole, Massachusetts",15.9,40,21.0,53
1476,"Edwardsville, Illinois",16.7,42,22.3,56
1477,"Dickinson, North Dakota",14.3,36,21.9,55
1478,"University Park, Texas",15.5,39,21.1,53
1479,"Sandusky, Ohio",18.7,47,19.5,49
1480,"Sanger, California",13.2,33,14.8,37
1481,"Northport, Alabama",23.6,59,30.7,77
1482,"Derry Township, Dauphin County, Pennsylvania",15.6,39,23.2,58
1483,"Wyandotte, Michigan",12.8,32,18.4,46
1484,"South Salt Lake, Utah",22.8,57,27.2,68
